"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Andrey (MEI)","Vasco","8,63",5,"11,80","12,70","1,38",20,3,1,NA,10,4,2,NA,NA,NA,NA,NA,1,NA,NA,13,NA,7
"2","Róger Guedes (ATA)","Atlético-MG","17,41",12,"10,60","10,30","-0,63",9,9,3,NA,41,12,11,1,NA,NA,NA,NA,2,NA,NA,12,3,27
"3","Rafael (GOL)","Cruzeiro","7,71",1,"10,50","0,00","0,00",NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"4","Arrascaeta (MEI)","Cruzeiro","17,70",5,"9,82","0,00","0,00",13,1,2,NA,12,6,7,1,NA,NA,NA,NA,1,NA,NA,10,NA,12
"5","Trauco (LAT)","Flamengo","7,34",2,"9,75","0,00","0,00",4,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4
"6","Víctor Cuesta (ZAG)","Internacional","18,42",10,"8,98","10,20","-0,73",41,2,1,5,7,1,NA,NA,NA,NA,NA,NA,4,NA,NA,15,1,20
"7","Gustavo Blanco (MEI)","Atlético-MG","19,53",11,"8,86","4,90","0,36",51,NA,4,NA,4,5,10,3,NA,NA,NA,NA,4,NA,NA,20,1,25
"8","Yago Pikachu (LAT)","Vasco","17,40",11,"8,85","4,80","-2,47",12,5,1,1,34,6,14,1,NA,NA,NA,NA,NA,NA,NA,4,5,26
"9","Pedro Geromel (ZAG)","Grêmio","17,65",3,"8,57","0,00","0,00",12,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2
"10","Ronaldo (GOL)","Vitória","4,03",1,"8,50","0,00","0,00",NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Ricardo Oliveira (ATA)","Atlético-MG","12,64",11,"8,45","10,60","-0,78",7,6,5,NA,10,13,12,NA,NA,NA,NA,NA,2,NA,NA,14,8,18
"12","Kannemann (ZAG)","Grêmio","14,18",9,"8,21","0,00","0,00",30,NA,NA,7,15,2,1,NA,NA,NA,NA,1,2,NA,NA,10,NA,8
"13","Lucas Paquetá (MEI)","Flamengo","20,72",10,"8,11","1,00","-0,58",31,3,1,NA,28,6,9,NA,NA,NA,NA,NA,3,NA,NA,15,NA,35
"14","Paolo Guerrero (ATA)","Flamengo","13,78",2,"8,05","0,00","0,00",NA,1,1,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
"15","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,3
"16","Thuler (ZAG)","Flamengo","5,26",5,"7,72","7,20","0,00",9,1,NA,4,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,4
"17","Evandro (LAT)","Sport","3,86",1,"7,70","0,00","0,00",2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"18","Pedro (ATA)","Fluminense","14,11",10,"7,67","1,90","-1,48",6,6,2,NA,25,7,6,NA,NA,NA,NA,NA,1,NA,NA,17,NA,17
"19","Mena (LAT)","Bahia","11,01",4,"7,62","20,20","3,10",7,1,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,10
"20","Patrick (MEI)","Internacional","19,01",11,"7,62","20,20","3,53",38,3,2,NA,14,6,4,NA,NA,NA,NA,NA,3,NA,NA,20,NA,26
"21","Everton (ATA)","Grêmio","16,06",9,"7,58","0,00","0,00",13,2,3,NA,17,16,7,2,NA,NA,NA,NA,3,NA,NA,11,1,20
"22","Willian (ATA)","Palmeiras","12,74",11,"7,32","11,90","2,46",10,7,NA,NA,10,5,8,3,NA,NA,NA,NA,2,NA,NA,21,3,7
"23","Thiago Carleto (LAT)","Atlético-PR","17,77",12,"7,32","3,50","0,29",15,2,3,4,15,10,13,1,NA,NA,NA,NA,2,NA,NA,6,1,41
"24","Renê (LAT)","Flamengo","13,96",11,"7,32","11,30","1,55",31,NA,2,8,12,2,2,NA,NA,NA,NA,NA,2,NA,NA,13,1,50
"25","Zé Rafael  (MEI)","Bahia","19,74",12,"7,31","14,00","2,49",32,1,NA,NA,39,14,14,3,NA,NA,NA,NA,2,NA,NA,22,1,31
"26","Júnior (LAT)","Paraná","7,21",8,"7,25","4,90","-0,40",25,NA,1,3,20,1,1,NA,NA,NA,NA,NA,2,NA,NA,9,NA,10
"27","Arthur (MEI)","Grêmio","15,69",7,"7,21","5,30","0,67",15,1,1,NA,29,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,NA,10
"28","Thiago Rodrigues (GOL)","Paraná","7,79",7,"7,20","4,00","0,53",NA,NA,NA,3,1,NA,NA,NA,13,1,NA,NA,NA,NA,5,1,NA,2
"29","Paulo Miranda (ZAG)","Grêmio","8,37",3,"7,10","10,50","0,61",8,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5
"30","Diego Alves (GOL)","Flamengo","12,84",10,"6,96","4,40","0,05",NA,NA,NA,7,1,NA,NA,NA,16,NA,NA,NA,1,NA,4,NA,NA,13
"31","Edson (MEI)","Bahia","7,04",2,"6,95","0,00","0,00",9,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2
"32","Egídio (LAT)","Cruzeiro","11,32",8,"6,84","0,00","0,00",24,NA,NA,5,11,4,NA,NA,NA,NA,NA,NA,1,NA,NA,11,3,20
"33","Clayson (ATA)","Corinthians","11,94",3,"6,83","0,00","0,00",6,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6
"34","Dedé (ZAG)","Cruzeiro","11,08",10,"6,78","2,90","0,34",21,2,NA,5,8,4,4,NA,NA,NA,NA,NA,3,NA,NA,12,1,14
"35","Bruno Cortez (LAT)","Grêmio","16,62",11,"6,77","10,20","0,56",26,NA,NA,9,18,NA,1,NA,NA,NA,NA,NA,1,NA,NA,18,NA,29
"36","Durval (ZAG)","Sport","6,27",2,"6,75","0,00","0,00",2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Rodinei (LAT)","Flamengo","13,71",12,"6,73","5,20","-0,35",16,NA,2,8,20,4,4,NA,NA,NA,NA,NA,2,NA,NA,4,1,16
"38","Neilton (ATA)","Vitória","12,21",11,"6,65","1,70","-0,36",19,4,3,NA,27,10,3,NA,NA,NA,NA,NA,3,NA,NA,14,3,43
"39","Rodrigo Caio (ZAG)","São Paulo","12,76",2,"6,55","0,00","0,00",3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"40","Vinicius Junior (ATA)","Flamengo","16,33",12,"6,54","5,70","0,40",13,4,3,NA,27,7,11,NA,NA,NA,NA,NA,3,NA,NA,8,1,33
"41","Nino Paraíba (LAT)","Bahia","14,23",9,"6,53","9,60","0,89",28,NA,1,3,14,3,3,NA,NA,NA,NA,NA,2,NA,NA,10,NA,24
"42","Gilberto  (LAT)","Fluminense","9,26",9,"6,53","0,00","0,00",16,2,2,3,14,5,2,NA,NA,NA,NA,1,1,NA,NA,10,1,24
"43","Leonardo (LAT)","Grêmio","2,90",2,"6,50","0,00","0,00",5,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4
"44","Matheus Fernandes (MEI)","Botafogo","14,12",10,"6,40","4,40","-1,73",42,NA,1,NA,12,5,2,1,NA,NA,NA,NA,3,NA,NA,12,1,23
"45","Zeca (LAT)","Internacional","10,87",5,"6,36","0,00","0,00",10,NA,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,15
"46","Réver (ZAG)","Flamengo","16,24",5,"6,30","0,00","0,00",1,1,NA,3,7,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"47","Rodrygo (ATA)","Santos","12,02",10,"6,18","0,00","0,00",4,5,2,NA,20,6,6,NA,NA,NA,NA,NA,NA,NA,NA,14,1,29
"48","Nenê (MEI)","São Paulo","12,42",11,"6,17","18,60","2,62",10,6,1,NA,23,9,3,2,NA,NA,NA,NA,5,NA,NA,12,2,38
"49","Walter (GOL)","Corinthians","8,96",7,"6,17","9,70","0,24",NA,NA,NA,2,1,NA,NA,NA,15,NA,NA,NA,NA,NA,6,NA,NA,1
"50","Balbuena (ZAG)","Corinthians","16,36",8,"6,11","0,00","0,00",26,NA,NA,3,6,3,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,20
"51","Marcelo Lomba (GOL)","Internacional","7,47",2,"6,10","7,00","-0,25",NA,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,1
"52","Léo Moura (LAT)","Grêmio","11,91",7,"6,03","7,40","0,73",5,NA,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6
"53","Rodrigo Moledo (ZAG)","Internacional","12,16",10,"5,96","3,70","0,29",21,1,NA,5,10,4,1,NA,NA,NA,NA,NA,2,NA,NA,13,1,11
"54","Leonardo Valencia (MEI)","Botafogo","9,46",10,"5,96","3,10","-1,54",10,2,3,NA,15,11,6,1,NA,NA,NA,NA,1,NA,NA,5,NA,28
"55","Maurício Barbieri (TEC)","Flamengo","13,48",12,"5,96","2,29","-0,59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Marcos Rocha (LAT)","Palmeiras","12,15",11,"5,84","3,10","-0,23",38,1,1,4,11,NA,NA,1,NA,NA,NA,NA,4,NA,NA,25,NA,46
