"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Rafael (GOL)","Cruzeiro","7,71",1,"10,50","0,00","0,00",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"2","Gilberto (ATA)","Bahia","12,28",2,"10,30","0,00","0,00",2,2,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,2
"3","Arrascaeta (MEI)","Cruzeiro","16,80",8,"9,77","-0,10","-2,38",16,3,3,0,19,9,7,1,0,0,0,0,1,0,0,10,1,18
"4","Ronaldo (GOL)","Vitória","5,06",2,"9,75","11,00","1,03",0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0
"5","Andrey (MEI)","Vasco","8,14",7,"9,60","0,00","0,00",24,3,1,0,10,8,4,0,0,0,0,0,1,0,0,18,0,10
"6","Gustavo Blanco (MEI)","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,0,4,0,4,5,10,3,0,0,0,0,4,0,0,20,1,25
"7","Pedro Geromel (ZAG)","Grêmio","16,04",6,"8,48","3,70","-0,18",25,0,0,3,3,3,0,0,0,0,0,0,1,0,0,4,0,5
"8","Yago Pikachu (LAT)","Vasco","18,13",13,"8,22","0,00","0,00",12,5,1,2,43,9,16,1,0,0,0,0,1,0,0,5,6,32
"9","Everton (ATA)","Grêmio","18,24",12,"8,12","17,70","2,61",19,4,3,0,22,20,9,2,0,0,0,0,3,0,0,16,2,23
"10","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3
"11","Pedro (ATA)","Fluminense","14,85",13,"8,02","0,00","-2,96",6,9,2,0,29,14,8,0,0,0,0,0,1,0,0,23,2,25
"12","Patrick (MEI)","Internacional","18,22",13,"7,94","10,00","0,33",50,3,2,0,17,7,6,0,0,0,0,0,3,0,0,23,0,32
"13","Erick (ATA)","Vitória","6,67",2,"7,90","11,20","2,73",4,1,0,0,7,1,0,0,0,0,0,0,0,0,0,1,1,5
"14","Zé Rafael  (MEI)","Bahia","20,72",14,"7,88","0,00","0,00",37,2,1,0,48,16,15,3,0,0,0,0,3,0,0,27,1,33
"15","Lucas Paquetá (MEI)","Flamengo","21,31",13,"7,88","2,10","-1,49",36,4,1,0,32,7,14,1,0,0,0,0,3,0,0,21,0,45
"16","Víctor Cuesta (ZAG)","Internacional","17,54",13,"7,83","3,40","-0,38",48,2,1,6,9,1,0,0,0,0,0,0,5,0,0,17,1,25
"17","Kannemann (ZAG)","Grêmio","13,09",10,"7,73","3,40","-1,09",34,0,0,7,18,2,1,0,0,0,0,1,3,0,0,13,0,10
"18","Thuler (ZAG)","Flamengo","5,26",5,"7,72","0,00","0,00",9,1,0,4,2,1,0,0,0,0,0,0,1,0,0,3,0,4
"19","Evandro (LAT)","Sport","3,86",1,"7,70","0,00","0,00",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"20","Mena (LAT)","Bahia","11,01",4,"7,62","0,00","0,00",7,1,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,10
"21","Gilberto  (LAT)","Fluminense","11,30",10,"7,57","16,90","2,04",21,3,2,4,15,5,2,0,0,0,0,1,2,0,0,13,1,26
"22","Paulo Miranda (ZAG)","Grêmio","8,37",3,"7,10","0,00","0,00",8,0,0,2,3,1,0,0,0,0,0,0,0,0,0,3,0,5
"23","Júnior (LAT)","Paraná","8,10",11,"6,92","5,80","-0,27",34,0,1,4,24,3,2,0,0,0,0,0,2,0,0,14,0,19
"24","Durval (ZAG)","Sport","6,27",2,"6,75","0,00","0,00",2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Renê (LAT)","Flamengo","12,82",14,"6,70","0,90","-0,88",37,0,2,9,15,2,3,0,0,0,0,0,2,0,0,16,1,56
"26","Bruno Cortez (LAT)","Grêmio","16,19",12,"6,61","0,00","0,00",26,0,0,10,19,0,1,0,0,0,0,0,1,0,0,18,0,31
"27","Ricardo Oliveira (ATA)","Atlético-MG","10,59",14,"6,60","-1,40","-0,53",8,6,5,0,15,14,13,0,0,0,0,0,2,0,0,23,9,23
"28","Rodolfo  (ATA)","Paraná","6,35",2,"6,60","4,80","0,29",1,1,0,0,3,2,2,0,0,0,0,0,0,0,0,3,0,1
"29","Rodrigo Caio (ZAG)","São Paulo","12,76",2,"6,55","0,00","0,00",3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,3
"30","Nino Paraíba (LAT)","Bahia","14,23",9,"6,53","0,00","0,00",28,0,1,3,14,3,3,0,0,0,0,0,2,0,0,10,0,24
