"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Nico López (ATA)","Internacional","17,77",1,"18,80","18,80","10,77",1,2,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
"2","Serginho (MEI)","América-MG","15,78",1,"17,90","17,90","10,78",2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3
"3","Otero (MEI)","Atlético-MG","14,81",1,"16,50","16,50","9,81",3,1,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"4","Rodriguinho (MEI)","Corinthians","23,08",1,"16,50","16,50","6,08",1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5
"5","Richard (MEI)","Fluminense","14,61",1,"16,20","16,20","9,61",5,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"6","Carlinhos (LAT)","América-MG","14,40",1,"15,90","15,90","9,40",1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
"7","Gustavo Blanco (MEI)","Atlético-MG","12,68",1,"15,40","15,40","9,68",4,NA,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"8","Jory (GOL)","América-MG","10,13",1,"13,70","13,70","9,13",NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1
"9","Thiago Carleto (LAT)","Atlético-PR","12,54",1,"13,20","13,20","7,54",NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"10","Víctor Cuesta (ZAG)","Internacional","13,85",1,"13,10","13,10","6,85",6,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"11","Yago Pikachu (LAT)","Vasco","14,33",1,"12,80","12,80","6,33",1,1,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
