"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Emerson Santos (ZAG)","Internacional","5,00",2,"10,10","0,00","0,00",5,0,0,2,1,3,1,0,0,0,0,0,0,0,0,1,0,3
"2","Marcelo Lomba (GOL)","Internacional","8,99",6,"9,35","8,50","0,29",0,0,0,5,2,0,0,0,11,0,0,0,0,0,1,0,0,3
"3","Gustavo Blanco (MEI)","Atlético-MG","19,53",11,"8,86","0,00","0,00",51,0,4,0,4,5,10,3,0,0,0,0,4,0,0,20,1,25
"4","Yago Pikachu (LAT)","Vasco","19,06",18,"8,52","10,80","0,89",20,7,1,3,60,15,20,1,0,0,0,0,1,0,0,9,7,39
"5","Andrey (MEI)","Vasco","8,31",11,"8,17","4,90","0,61",36,3,1,0,17,16,5,0,0,0,0,0,2,0,0,22,0,18
"6","Pedro Geromel (ZAG)","Grêmio","15,53",8,"8,13","3,20","-1,21",32,0,0,4,3,3,0,0,0,0,0,0,1,0,0,6,0,6
"7","Everton (ATA)","Grêmio","16,69",15,"8,10","6,40","-0,64",20,7,3,0,26,21,11,2,0,0,0,0,4,0,0,18,2,35
"8","Gustavo Gómez (ZAG)","Palmeiras","10,06",2,"8,05","0,00","0,00",4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,3
"9","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3
"10","Bruno Grassi (GOL)","Grêmio","4,52",1,"8,00","0,00","0,00",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"11","Lucas Kal (ZAG)","São Paulo","5,17",1,"8,00","0,00","0,00",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Kannemann (ZAG)","Grêmio","12,97",12,"7,82","3,50","-1,41",42,0,0,8,19,2,1,0,0,0,0,1,3,0,0,14,1,10
"13","Arrascaeta (MEI)","Cruzeiro","17,04",12,"7,72","5,40","0,20",20,3,4,0,25,13,11,1,0,0,0,0,3,0,0,11,1,28
"14","Evandro (LAT)","Sport","3,86",1,"7,70","0,00","0,00",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"15","Rafael (GOL)","Cruzeiro","6,53",3,"7,67","0,00","0,00",0,0,0,1,3,0,0,0,7,0,0,0,0,0,2,1,0,0
"16","Víctor Cuesta (ZAG)","Internacional","17,83",17,"7,55","5,70","0,04",56,2,1,10,14,2,0,0,0,0,0,0,6,0,0,22,1,39
"17","Patrick (MEI)","Internacional","18,54",18,"7,50","11,50","1,05",63,4,3,0,25,8,8,0,0,0,0,0,3,0,0,31,0,45
"18","Pedro (ATA)","Fluminense","15,80",18,"7,48","5,20","0,11",13,10,2,0,39,23,11,0,0,0,0,0,1,0,0,26,3,32
"19","Walter (GOL)","Corinthians","10,11",8,"7,27","0,00","0,00",1,0,0,2,2,0,0,0,20,0,0,0,0,0,7,0,0,1
"20","Gilberto (ATA)","Bahia","13,07",7,"7,25","6,50","0,58",5,4,0,0,13,10,1,0,0,0,0,0,0,0,0,4,0,8
"21","Lucas Paquetá (MEI)","Flamengo","21,05",18,"7,05","3,40","-0,17",43,5,1,0,49,13,18,1,0,0,0,0,4,0,0,33,0,59
"22","Gilberto  (LAT)","Fluminense","10,47",14,"6,99","9,50","0,13",31,3,2,6,17,7,4,0,0,0,0,1,3,0,0,18,1,37
"23","Ricardo Oliveira (ATA)","Atlético-MG","12,47",19,"6,97","5,60","-0,35",8,9,6,0,20,20,19,1,0,0,0,0,2,0,0,28,12,31
"24","Zé Rafael  (MEI)","Bahia","18,14",18,"6,78","2,30","-0,05",40,2,1,0,64,21,18,3,0,0,0,0,3,0,0,35,2,46
"25","Durval (ZAG)","Sport","6,27",2,"6,75","0,00","0,00",2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Vitinho (ATA)","Flamengo","15,47",4,"6,73","13,50","2,58",13,0,0,0,8,2,7,1,0,0,0,0,1,0,0,7,1,12
"27","Leonardo (LAT)","Grêmio","4,59",6,"6,72","0,00","0,00",13,0,1,4,5,2,2,0,0,0,0,0,1,0,0,9,0,14
"28","Luiz Felipe Scolari (TEC)","Palmeiras","13,49",4,"6,65","5,55","-0,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Rodrigo Caio (ZAG)","São Paulo","12,76",2,"6,55","0,00","0,00",3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,3
"30","Willian (ATA)","Palmeiras","12,23",16,"6,54","6,90","-0,43",16,7,2,0,22,10,10,3,0,0,0,0,2,0,0,30,6,11
"31","Réver (ZAG)","Flamengo","15,98",11,"6,50","8,20","0,13",11,2,0,6,13,5,2,0,0,0,0,0,0,0,0,5,0,5
"32","Nino Paraíba (LAT)","Bahia","13,40",10,"6,42","0,00","0,00",29,0,1,4,14,3,3,0,0,0,0,0,2,0,0,11,0,26
"33","Joao Rojas (ATA)","São Paulo","10,32",8,"6,41","5,00","0,11",14,1,4,0,11,7,1,0,0,0,0,0,1,0,0,7,3,10
"34","Marcos Rocha (LAT)","Palmeiras","14,63",15,"6,40","0,00","0,00",55,1,2,5,15,0,2,1,0,0,0,0,4,0,0,30,0,65
"35","Trauco (LAT)","Flamengo","6,45",4,"6,30","0,00","0,00",6,0,2,2,1,0,1,0,0,0,0,0,0,0,0,5,0,10
"36","João Ricardo (GOL)","América-MG","8,67",11,"6,21","13,70","0,95",0,0,0,5,1,0,0,0,21,1,0,0,0,0,12,0,0,11
"37","Rodrigo Moledo (ZAG)","Internacional","12,68",14,"6,10","7,20","-0,02",25,1,0,9,13,5,1,0,0,0,0,0,2,0,0,13,1,19
"38","Mateus (LAT)","Vitória","3,57",1,"6,10","0,00","0,00",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
"39","Ángel Romero (ATA)","Corinthians","9,98",13,"6,09","-1,80","-0,32",15,6,2,0,46,9,4,0,0,0,0,1,5,0,0,17,1,41
"40","Thuler (ZAG)","Flamengo","4,34",7,"6,06","0,00","0,00",13,1,0,4,2,2,0,0,0,0,0,0,1,0,0,6,0,9
"41","Dedé (ZAG)","Cruzeiro","10,97",14,"6,04","0,00","0,00",31,2,0,5,15,6,5,0,0,0,0,0,3,0,0,15,1,24
"42","Renê (LAT)","Flamengo","13,65",18,"6,04","8,30","1,33",47,0,2,10,17,2,4,0,0,0,0,0,3,0,0,21,1,65
"43","Marinho (ATA)","Grêmio","13,88",6,"6,00","0,00","0,00",10,1,1,0,15,5,5,0,0,0,0,0,1,0,0,8,1,10
"44","Paulo Miranda (ZAG)","Grêmio","8,47",6,"5,90","0,00","0,00",11,0,0,4,7,2,0,0,0,0,0,0,0,0,0,4,0,14
"45","Nico López (ATA)","Internacional","14,67",16,"5,90","0,00","0,00",16,6,2,0,13,8,14,3,0,0,0,0,3,0,0,15,4,36
"46","Bruno Cortez (LAT)","Grêmio","14,73",16,"5,88","0,40","-0,90",30,0,0,13,21,0,1,0,0,0,0,0,2,0,0,23,0,40
"47","Leonardo Silva (ZAG)","Atlético-MG","10,05",8,"5,81","7,10","0,09",13,2,0,3,12,2,1,1,0,0,0,0,3,0,0,7,0,21
"48","Júnior (LAT)","Paraná","8,43",16,"5,75","7,10","1,11",43,1,1,4,29,5,2,0,0,0,0,0,3,0,0,21,0,33
"49","Bruno Henrique (MEI)","Palmeiras","11,38",18,"5,67","4,20","0,54",44,5,2,0,28,10,3,1,0,0,0,0,4,0,0,47,0,37
"50","Reinaldo (LAT)","São Paulo","11,49",14,"5,67","5,20","-0,08",27,2,1,5,12,12,6,0,0,0,0,0,2,0,0,24,1,45
