"","Nome","Posição","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Rodriguinho","MEI","Corinthians","24,64",4,"10,95","0,00","0,00",4,4,1,0,10,2,1,0,0,0,0,0,0,0,0,8,0,10
"2","Rafael","GOL","Cruzeiro","7,71",1,"10,50","0,00","0,00",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"3","Arrascaeta","MEI","Cruzeiro","17,70",5,"9,82","0,00","0,00",13,1,2,0,12,6,7,1,0,0,0,0,1,0,0,10,0,12
"4","Everton","ATA","Grêmio","16,36",5,"9,76","10,90","1,34",9,1,3,0,9,8,4,1,0,0,0,0,1,0,0,4,0,8
"5","Trauco","LAT","Flamengo","7,34",2,"9,75","0,00","0,00",4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,3,0,4
"6","Thiago Rodrigues","GOL","Paraná","6,70",2,"9,60","7,70","0,22",0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1
"7","Gustavo Blanco","MEI","Atlético-MG","18,71",6,"9,42","6,30","-0,41",29,0,3,0,1,2,6,2,0,0,0,0,3,0,0,15,1,11
"8","Anselmo","MEI","Sport","18,09",7,"9,31","26,20","4,93",34,2,0,0,13,3,1,1,0,0,0,0,1,0,0,18,0,13
"9","Arthur","MEI","Grêmio","16,80",4,"9,22","0,00","0,00",11,1,1,0,17,1,0,0,0,0,0,0,0,0,0,2,0,3
"10","Lucas Paquetá","MEI","Flamengo","21,28",6,"9,22","1,90","-0,48",21,2,1,0,17,5,5,0,0,0,0,0,2,0,0,12,0,19
"11","Róger Guedes","ATA","Atlético-MG","13,78",7,"8,96","6,60","-0,07",5,5,0,0,23,7,7,1,0,0,0,0,1,0,0,9,1,21
"12","Giovanni","LAT","América-MG","7,33",3,"8,93","-1,80","-1,56",5,2,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,4
"13","Pedro","ATA","Fluminense","16,59",7,"8,93","15,70","2,79",4,5,2,0,17,4,5,0,0,0,0,0,1,0,0,13,0,9
"14","Pedro Geromel","ZAG","Grêmio","17,65",3,"8,57","0,00","0,00",12,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,2
"15","Dedé","ZAG","Cruzeiro","10,64",5,"8,30","6,00","-0,61",10,2,0,3,4,3,2,0,0,0,0,0,3,0,0,7,0,6
"16","Edson","MEI","Bahia","7,14",1,"8,20","0,00","0,00",5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1
"17","Paolo Guerrero","ATA","Flamengo","13,78",2,"8,05","0,00","0,00",0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,2,1,2
"18","Gatito Fernández","GOL","Botafogo","14,65",2,"8,05","0,00","0,00",0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3
"19","Neris","ZAG","Paraná","6,40",2,"8,00","8,30","0,85",6,0,0,2,0,1,1,0,0,0,0,0,1,0,0,3,0,5
"20","Thiago Carleto","LAT","Atlético-PR","17,86",7,"7,99","8,10","0,92",11,1,2,3,11,6,6,1,0,0,0,0,2,0,0,4,0,27
"21","Sidcley","LAT","Corinthians","14,30",6,"7,80","0,90","-2,11",16,1,1,2,7,0,0,0,0,0,0,0,0,0,0,2,0,9
"22","Vinicius Junior","ATA","Flamengo","16,71",7,"7,73","7,80","0,54",3,4,3,0,14,4,5,0,0,0,0,0,2,0,0,5,1,22
"23","Zé Rafael ","MEI","Bahia","19,58",7,"7,63","15,80","2,55",14,1,0,0,28,8,8,3,0,0,0,0,1,0,0,15,0,17
"24","João Pedro ","LAT","Bahia","6,03",2,"7,40","13,00","2,66",4,0,1,1,2,0,2,0,0,0,0,0,0,0,0,2,0,12
